City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
Grindavik,63.84,-22.43,48.2,93,90,10.29,IS,1594422979
Seabra,-12.42,-41.77,62.74,89,68,2.75,BR,1594422788
kimparana,12.83,-4.92,85.33,57,96,10.87,ML,1594422979
Bredasdorp,-34.53,20.04,50.0,76,34,10.29,ZA,1594422979
Punta Arenas,-53.15,-70.92,32.85,80,75,10.29,CL,1594422821
Sitka,57.05,-135.33,55.4,87,90,9.17,US,1594422980
Yangi Marg`ilon,40.43,71.72,69.8,56,90,11.41,UZ,1594422980
Hermanus,-34.42,19.23,52.0,71,89,7.0,ZA,1594422980
Tasiilaq,65.61,-37.64,42.8,75,25,6.93,GL,1594422919
Marsh Harbour,26.54,-77.06,86.43,69,88,9.6,BS,1594422981
Aksu,41.12,80.26,69.73,49,62,3.87,CN,1594422981
Albany,42.6,-73.97,78.69,79,100,5.73,US,1594422911
Clyde River,70.47,-68.59,62.6,42,75,11.41,CA,1594422883
Rikitea,-23.12,-134.97,67.51,67,71,18.84,PF,1594422981
Vaini,-21.2,-175.2,75.2,73,40,9.17,TO,1594422982
Saint George,37.1,-113.58,102.94,9,1,13.87,US,1594422899
Ancud,-41.87,-73.82,42.39,86,90,19.46,CL,1594422982
Ulaanbaatar,47.91,106.88,55.4,87,75,2.24,MN,1594422983
Borovoy,55.43,86.08,53.6,100,90,6.71,RU,1594422983
Iqaluit,63.75,-68.51,45.34,81,75,9.17,CA,1594422891
Mataura,-46.19,168.86,45.54,86,74,6.49,NZ,1594422899
Butaritari,3.07,172.79,82.18,81,100,16.8,KI,1594422983
Goderich,43.75,-81.72,76.05,83,100,10.45,CA,1594422984
Marabba,12.35,32.18,80.8,60,100,4.92,SD,1594422984
Provideniya,64.38,-173.3,58.69,59,96,5.82,RU,1594422984
Ushuaia,-54.8,-68.3,35.6,69,40,4.7,AR,1594422829
Ishigaki,24.34,124.16,87.8,84,20,13.87,JP,1594422985
Los Llanos de Aridane,28.66,-17.92,73.4,69,75,19.46,ES,1594422710
Bluff,-46.6,168.33,49.71,74,84,19.84,NZ,1594422985
Hobart,-42.88,147.33,40.03,86,75,5.82,AU,1594422885
Laas,46.62,10.7,57.2,93,75,9.17,IT,1594422950
Bengkulu,-3.8,102.27,75.72,84,100,3.85,ID,1594422986
Broken Hill,-31.95,141.43,42.8,87,75,1.12,AU,1594422986
Albanel,48.88,-72.45,91.4,43,40,11.41,CA,1594422986
Kutum,14.2,24.67,74.82,53,81,3.87,SD,1594422986
Cayenne,4.93,-52.33,80.6,83,100,10.07,GF,1594422987
Avarua,-21.21,-159.78,77.0,78,66,3.36,CK,1594422921
Port Alfred,-33.59,26.89,62.01,57,53,5.99,ZA,1594422896
San Angelo,31.46,-100.44,101.64,29,1,3.36,US,1594422917
Nelson,-41.28,173.28,51.46,90,0,1.99,NZ,1594422925
Port Blair,11.67,92.75,81.68,81,100,9.62,IN,1594422988
Fukuechō,32.69,128.84,75.2,94,75,3.36,JP,1594422988
Ribeira Grande,38.52,-28.7,69.03,75,27,7.9,PT,1594422988
Cidreira,-30.18,-50.21,57.27,84,0,11.77,BR,1594422921
Luganville,-15.53,167.17,80.6,78,40,10.29,VU,1594422989
Jamestown,42.1,-79.24,81.55,51,75,1.3,US,1594422802
Torbay,47.67,-52.73,52.66,87,90,3.36,CA,1594422990
Awjilah,29.11,21.29,78.42,36,0,11.7,LY,1594422990
Busselton,-33.65,115.33,37.35,85,0,11.43,AU,1594422729
Fortuna,40.6,-124.16,65.77,68,20,14.99,US,1594422890
Tiksi,71.69,128.87,41.95,87,99,7.67,RU,1594422991
Barrow,71.29,-156.79,37.4,72,90,8.05,US,1594422896
Cherskiy,68.75,161.3,58.23,70,89,8.7,RU,1594422991
Anadyr,64.75,177.48,59.0,82,96,4.47,RU,1594422992
Kloulklubed,7.04,134.26,80.6,83,75,5.82,PW,1594422992
New Norfolk,-42.78,147.06,38.53,93,100,2.33,AU,1594422992
Norman Wells,65.28,-126.83,50.0,87,90,16.11,CA,1594422992
Neryungri,56.67,124.65,72.91,70,93,5.66,RU,1594422993
Noumea,-22.28,166.46,71.24,56,4,4.7,NC,1594422993
Samarai,-10.62,150.67,78.1,87,94,18.97,PG,1594422994
Kaitangata,-46.28,169.85,48.0,64,53,7.0,NZ,1594422994
Sørland,67.67,12.69,52.38,85,29,14.54,NO,1594422994
Baykit,61.67,96.37,52.95,87,100,4.85,RU,1594422952
Faya,18.39,42.45,74.3,38,20,4.92,SA,1594422964
Bambous Virieux,-20.34,57.76,67.53,77,75,18.34,MU,1594422995
Karratha,-20.74,116.85,64.06,39,0,19.69,AU,1594422995
Cape Town,-33.93,18.42,51.3,81,40,13.87,ZA,1594422847
Lambaré,-25.35,-57.61,71.6,73,0,8.05,PY,1594422996
Kapaa,22.08,-159.32,83.26,66,40,16.11,US,1594422718
Prainha,-1.8,-53.48,75.92,92,100,2.64,BR,1594422997
Makīnsk,52.63,70.42,57.09,86,12,5.53,KZ,1594422997
Camacha,33.08,-16.33,69.8,77,40,12.75,PT,1594422997
Saint Paul Harbor,57.79,-152.41,66.2,52,1,9.17,US,1594422739
Onega,63.91,38.14,51.4,78,18,6.24,RU,1594422998
Chokurdakh,70.63,147.92,58.84,50,3,9.28,RU,1594422998
Constitución,-35.33,-72.42,50.79,82,32,8.5,CL,1594422999
Hilo,19.73,-155.09,76.8,54,20,14.99,US,1594422999
Oltu,40.55,42.0,58.64,82,97,2.48,TR,1594423000
Buenos Aires,-34.61,-58.38,54.16,66,97,4.7,AR,1594422766
Port Lincoln,-34.73,135.87,47.16,86,47,3.4,AU,1594423001
Auki,-8.77,160.7,84.63,67,64,4.23,SB,1594423001
Touros,-5.2,-35.46,75.2,94,0,4.7,BR,1594422967
Thunder Bay,48.4,-89.32,83.17,37,75,13.87,CA,1594422809
Cabo San Lucas,22.89,-109.91,88.54,58,20,11.41,MX,1594423002
Pitimbu,-7.47,-34.81,75.2,94,4,8.05,BR,1594423002
Inírida,3.87,-67.92,77.67,87,30,1.52,CO,1594423002
Atuona,-9.8,-139.03,79.92,77,93,18.54,PF,1594422898
Chui,-33.7,-53.46,53.06,84,93,9.28,UY,1594423003
Scarborough,54.28,-0.4,52.32,88,17,11.5,GB,1594423003
Ilulissat,69.22,-51.1,42.8,87,100,10.29,GL,1594422987
Coro,11.4,-69.67,80.89,73,55,18.7,VE,1594423004
Yellowknife,62.46,-114.35,69.62,52,75,8.05,CA,1594422886
Carnarvon,-24.87,113.63,53.6,50,0,10.29,AU,1594422919
Thompson,55.74,-97.86,69.8,52,40,8.05,CA,1594423004
Sisimiut,66.94,-53.67,43.93,79,38,4.56,GL,1594423005
Tsimmerbude,54.67,20.13,65.41,88,75,24.61,RU,1594423005
Rawson,-43.3,-65.1,42.35,62,0,20.71,AR,1594423005
Harper,4.38,-7.72,75.58,80,83,10.04,LR,1594423005
Banda Aceh,5.56,95.32,79.83,77,92,4.85,ID,1594423006
Castro,-24.79,-50.01,52.12,85,22,3.78,BR,1594423006
Shelburne,44.08,-80.2,71.94,94,90,13.87,CA,1594422730
Tuktoyaktuk,69.45,-133.04,42.8,87,90,12.75,CA,1594423006
Ketchikan,55.34,-131.65,55.4,100,90,28.86,US,1594423007
Mahébourg,-20.41,57.7,68.0,77,75,18.34,MU,1594423007
Muros,42.78,-9.06,63.0,75,0,3.0,ES,1594423007
Lebu,-37.62,-73.65,47.43,74,73,3.94,CL,1594423007
Laramie,41.31,-105.59,87.1,5,1,17.22,US,1594423008
Rairangpur,22.27,86.18,79.79,80,100,6.22,IN,1594423008
Itarema,-2.92,-39.92,78.12,83,25,12.26,BR,1594423009
Gonbad-e Kāvūs,37.25,55.17,77.0,83,2,2.24,IR,1594423009
Klaksvík,62.23,-6.59,46.4,75,70,1.12,FO,1594423009
Ambilobe,-13.2,49.05,67.41,72,31,5.68,MG,1594423010
George Town,5.41,100.34,79.27,94,40,2.24,MY,1594422990
Te Anau,-45.42,167.72,44.37,85,100,6.89,NZ,1594423010
Boende,-0.22,20.87,72.79,93,100,3.27,CD,1594423010
Ha Tinh,18.33,105.9,84.6,67,100,5.28,VN,1594423011
Erzin,36.96,36.2,78.01,88,52,1.25,TR,1594423011
Souillac,-20.52,57.52,68.0,77,75,18.34,MU,1594423011
Acaraú,-2.89,-40.12,78.17,83,42,12.62,BR,1594422927
Ponta do Sol,32.67,-17.1,66.94,77,3,5.97,PT,1594423012
Saint-Philippe,-21.36,55.77,61.83,77,55,8.05,RE,1594422907
Coyhaique,-45.58,-72.07,33.8,93,90,11.41,CL,1594423012
Odesskoye,54.21,72.97,58.95,85,4,6.69,RU,1594423013
Qaanaaq,77.48,-69.36,44.62,64,67,3.4,GL,1594422889
Pevek,69.7,170.31,48.99,84,80,5.97,RU,1594423013
Naze,28.37,129.48,82.4,94,75,10.29,JP,1594423013
Esim,4.87,-2.24,75.2,87,84,10.07,GH,1594423014
Quatre Cocos,-20.21,57.76,67.48,77,75,18.34,MU,1594423014
Fort Morgan,40.25,-103.8,100.4,5,1,10.29,US,1594423014
San Andrés,12.58,-81.7,86.0,74,75,13.87,CO,1594423015
Hacarí,8.32,-73.15,69.73,87,89,3.31,CO,1594423015
Port Hedland,-20.32,118.57,64.4,31,0,12.75,AU,1594423015
Yorosso,12.35,-4.78,78.78,73,55,9.04,ML,1594423016
Beyneu,45.32,55.2,82.38,22,0,5.35,KZ,1594423017
Forsytheganj,52.63,29.73,64.85,94,77,11.14,BY,1594422994
Grootfontein,-19.57,18.12,45.59,52,0,5.19,NA,1594423017
Luena,-11.78,19.92,58.69,44,0,3.2,AO,1594423017
Laguna,38.42,-121.42,100.09,16,1,6.93,US,1594423018
Zhalantun,48.0,122.72,71.6,70,63,5.21,CN,1594423018
Huaicheng,23.91,112.19,78.8,93,100,3.83,CN,1594423018
Fergus Falls,46.28,-96.08,78.53,57,1,5.82,US,1594422974
Mindelo,16.89,-24.98,78.8,74,20,19.46,CV,1594423019
Flinders,-34.58,150.86,54.41,93,95,1.99,AU,1594423019
Oranjemund,-28.55,16.43,55.72,70,29,21.77,NA,1594423019
Bucerías,20.75,-105.33,88.39,70,75,11.41,MX,1594423020
Severo-Kuril'sk,50.68,156.12,49.93,92,100,4.94,RU,1594423020
Saldanha,-33.01,17.94,51.8,76,74,6.93,ZA,1594423020
Río Gallegos,-51.62,-69.22,32.0,92,100,14.99,AR,1594422996
Nuuk,64.18,-51.72,50.0,71,7,6.93,GL,1594423021
Riyadh,24.69,46.72,91.4,17,0,5.82,SA,1594423021
Waingapu,-9.66,120.26,74.03,82,23,9.95,ID,1594423021
Kuytun,54.34,101.5,62.91,76,13,5.14,RU,1594423022
Pomichna,48.24,31.42,64.0,63,1,5.21,UA,1594423023
Bereket,39.24,55.52,80.76,57,49,9.13,TM,1594423023
Lata,40.16,-8.33,67.01,67,0,0.81,PT,1594423024
Manjacaze,-24.71,33.88,66.52,78,0,10.87,MZ,1594423024
‘Āhuimanu,21.44,-157.84,83.61,54,40,14.99,US,1594423024
Allāpalli,19.42,80.07,75.22,95,100,2.06,IN,1594423025
Pisco,-13.7,-76.22,62.35,72,12,13.87,PE,1594423025
Timbó,-26.82,-49.27,55.0,96,0,0.58,BR,1594423026
Tulun,54.56,100.58,62.91,82,88,10.47,RU,1594423026
Haines Junction,60.75,-137.51,65.95,36,100,4.18,CA,1594423027
Dubai,25.26,55.3,92.46,39,0,4.7,AE,1594422840
Tuatapere,-46.13,167.68,46.71,82,76,7.0,NZ,1594423027
Vitória da Conquista,-14.87,-40.84,60.17,89,16,6.55,BR,1594422838
Stuttgart,48.78,9.18,65.12,63,75,1.12,DE,1594422942
São Raimundo das Mangabeiras,-7.02,-45.48,80.24,48,96,4.36,BR,1594423028
Tucuruí,-3.77,-49.67,77.81,73,100,1.12,BR,1594423028
Meulaboh,4.14,96.13,77.67,82,100,4.36,ID,1594423029
Lenine,45.3,35.78,73.11,63,0,12.35,UA,1594423029
Puerto del Rosario,28.5,-13.86,71.6,78,31,17.22,ES,1594423030
Shujaabad,29.88,71.29,91.4,63,0,11.41,PK,1594423030
Lagoa,39.05,-27.98,68.9,77,0,7.47,PT,1594422906
Xiazhen,34.8,117.11,74.86,79,100,9.04,CN,1594423030
Chingirlau,51.09,54.08,77.16,40,32,6.76,KZ,1594423031
Hithadhoo,-0.6,73.08,83.39,76,98,10.31,MV,1594423031
Huanren,41.26,125.37,68.65,88,100,1.39,CN,1594423031
Makakilo City,21.35,-158.09,86.16,48,75,10.29,US,1594423032
Alice Springs,-23.7,133.88,49.5,75,100,5.82,AU,1594422854
Lorengau,-2.02,147.27,84.38,75,85,12.95,PG,1594423032
Deputatsky,69.3,139.9,62.44,53,26,4.16,RU,1594423032
Kahului,20.89,-156.47,80.35,46,20,21.92,US,1594423033
Luan,46.36,6.98,59.9,77,40,10.29,CH,1594423033
Kazanskaya,45.41,40.44,64.06,64,0,7.34,RU,1594423034
Eséka,3.65,10.77,71.2,96,100,2.77,CM,1594423034
Arraial do Cabo,-22.97,-42.03,64.4,88,20,4.7,BR,1594422943
Gualeguaychú,-33.01,-58.52,55.0,74,73,4.0,AR,1594422883
Pacific Grove,36.62,-121.92,64.38,63,1,9.17,US,1594423035
Saint-Augustin,51.23,-58.65,62.71,81,89,12.62,CA,1594423035
Khorixas,-20.37,14.97,43.41,87,4,8.23,NA,1594423035
Ilhéus,-14.79,-39.05,70.47,80,57,7.43,BR,1594422814
Esperance,-33.87,121.9,42.8,100,40,4.7,AU,1594423036
Bathsheba,13.22,-59.52,82.4,78,40,18.34,BB,1594423036
Nyagan,62.14,65.39,66.6,94,59,4.65,RU,1594423036
Caravelas,-17.71,-39.25,72.16,80,43,6.73,BR,1594423037
Izumo,35.37,132.77,77.0,88,75,17.22,JP,1594423037
Upernavik,72.79,-56.15,41.54,83,17,21.25,GL,1594423037
Richards Bay,-28.78,32.04,74.82,41,0,14.88,ZA,1594423038
Ostrovnoy,68.05,39.51,52.9,74,0,14.65,RU,1594423038
Seydi,39.48,62.91,81.1,27,3,10.4,TM,1594423038
Airai,-8.93,125.41,60.62,98,40,4.25,TL,1594423038
San Juan,-31.54,-68.54,55.74,39,98,14.41,AR,1594423039
Hong Kong,22.29,114.16,84.97,70,98,11.01,HK,1594422798
Mayor Pablo Lagerenza,-19.93,-60.77,79.05,47,0,10.11,PY,1594423039
Imbituba,-28.24,-48.67,62.6,82,0,10.29,BR,1594423039
Hofn,64.25,-15.21,52.97,77,20,8.5,IS,1594423040
Nuquí,5.71,-77.27,77.0,94,90,5.82,CO,1594423040
Solnechnyy,50.72,136.63,66.58,70,79,5.06,RU,1594423040
Tomohon,1.33,124.84,75.2,100,40,2.82,ID,1594423040
Sept-Îles,50.2,-66.38,64.18,88,75,6.93,CA,1594422831
Kilindoni,-7.91,39.67,77.16,78,12,12.46,TZ,1594423041
Seoul,37.57,126.98,76.28,64,90,4.7,KR,1594422913
Nakamura,32.98,132.93,76.66,91,97,5.35,JP,1594423041
Bonfim,3.08,-59.95,80.01,76,99,4.14,BR,1594423042
Finschhafen,-6.6,147.87,77.04,85,93,14.72,PG,1594423042
Sweetwater,25.76,-80.37,79.07,88,90,12.75,US,1594423042
Vila Franca do Campo,37.72,-25.43,68.0,77,75,5.82,PT,1594422914
Saskylakh,71.92,114.08,54.7,69,100,19.98,RU,1594423043
Salalah,17.02,54.09,80.6,100,90,5.82,OM,1594423043
Nikolskoye,59.7,30.79,55.71,87,90,11.18,RU,1594423043
Langsa,4.47,97.97,73.78,92,100,1.16,ID,1594423043
Mūl,20.07,79.67,75.97,88,100,6.4,IN,1594423044
Isangel,-19.55,169.27,78.8,69,75,9.17,VU,1594423044
Geraldton,-28.77,114.6,50.0,57,0,19.46,AU,1594423044
Upata,8.01,-62.4,80.01,85,100,5.01,VE,1594423044
Saint Anthony,45.02,-93.22,83.61,42,1,10.29,US,1594423020
Maragogi,-9.01,-35.22,74.84,85,19,10.07,BR,1594423045
Kenitra,34.26,-6.58,66.2,88,0,5.82,MA,1594422979
Ixtapa,20.7,-105.2,88.41,70,75,11.41,MX,1594423046
San Ignacio,17.16,-89.07,85.53,83,75,4.7,BZ,1594422972
Antsohihy,-14.88,47.99,70.23,60,10,9.57,MG,1594423047
Leningradskiy,69.38,178.42,47.44,73,9,12.93,RU,1594423047
Abhā,18.22,42.51,74.25,38,10,8.55,SA,1594423047
San Patricio,19.22,-104.7,87.8,74,75,17.22,MX,1594423048
Yenagoa,4.92,6.26,72.12,95,100,2.68,NG,1594423048
Hasaki,35.73,140.83,82.15,83,75,16.11,JP,1594423048
Rome,43.21,-75.46,80.17,65,20,11.41,US,1594423049
Agadez,19.75,10.25,90.61,12,5,8.41,NE,1594423049
Mount Gambier,-37.83,140.77,48.2,93,90,4.7,AU,1594422931
Arinos,-15.92,-46.11,68.29,41,40,2.08,BR,1594423050
Trairi,-3.28,-39.27,77.74,80,40,9.4,BR,1594423050
Paita,-5.09,-81.11,64.11,79,44,17.72,PE,1594423050
Rawlins,41.79,-107.24,88.86,6,1,28.86,US,1594423051
Thaba Nchu,-29.21,26.84,53.6,73,38,11.41,ZA,1594423051
Khovd,48.01,91.64,64.98,53,96,5.48,MN,1594423051
Bantogon,6.53,124.03,77.9,80,79,5.39,PH,1594423052
Pánuco,22.05,-98.17,86.0,79,5,8.05,MX,1594423052
Nanortalik,60.14,-45.24,45.28,93,95,4.09,GL,1594423052
Minas,-34.38,-55.24,54.5,81,75,16.11,UY,1594423052
Dundalk,39.25,-76.52,84.11,69,20,14.99,US,1594423052
Miandrivazo,-19.52,45.47,69.06,50,0,4.45,MG,1594423053
Qom,34.64,50.88,81.88,21,69,11.68,IR,1594423054
Varna,43.22,27.92,63.64,82,0,3.36,BG,1594423054
Porto Santo,33.07,-16.34,69.8,77,40,12.75,PT,1594423054
Faanui,-16.48,-151.75,77.92,80,32,21.59,PF,1594423055
Kavieng,-2.57,150.8,84.31,73,89,10.94,PG,1594423055
Cockburn Town,21.46,-71.14,84.2,74,75,12.75,TC,1594422932
Kensington,-33.92,151.22,54.19,100,75,5.82,AU,1594423056
Kalmunai,7.42,81.82,78.98,81,98,2.95,LK,1594423056
Shenjiamen,29.96,122.3,77.67,92,100,3.42,CN,1594423056
The Valley,18.22,-63.06,83.64,62,20,12.75,AI,1594422765
Yulara,-25.24,130.99,42.8,63,69,4.7,AU,1594422926
Médéa,36.26,2.75,73.4,88,40,3.36,DZ,1594423057
Vilhena,-12.74,-60.15,77.0,50,0,4.7,BR,1594423057
Dangara,29.68,75.89,91.9,46,85,10.63,IN,1594423057
Boca de Parita,8.02,-80.45,80.89,81,100,8.55,PA,1594423057
Dongsheng,39.82,109.98,68.63,57,97,15.82,CN,1594423057
Buala,-8.14,159.59,83.89,75,26,7.52,SB,1594423058
Rudnya,54.95,31.09,61.34,96,22,12.73,RU,1594423058
Carndonagh,55.25,-7.27,51.39,92,51,10.74,IE,1594423058
Port Elizabeth,-33.92,25.57,60.8,55,94,8.05,ZA,1594423058
Rincon,32.3,-81.24,89.31,63,40,11.41,US,1594423058
Forbes,-33.38,148.02,55.0,87,90,3.0,AU,1594423059
Korla,41.76,86.15,78.01,73,53,7.0,CN,1594423059
Viedma,-40.81,-63.0,41.4,65,0,8.9,AR,1594422971
Gibsons,49.4,-123.5,64.99,72,43,3.0,CA,1594423059
Necochea,-38.55,-58.74,41.0,87,58,8.99,AR,1594423060
San Lorenzo,-25.33,-57.53,71.6,73,0,8.05,PY,1594423060
Dikson,73.51,80.55,44.06,78,49,14.29,RU,1594423060
Half Moon Bay,37.46,-122.43,74.82,82,1,8.05,US,1594422826
Ileza,61.05,43.9,50.49,87,19,3.2,RU,1594423061
